Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価,,,,,,,,,
28057309,西宮北口駅,165,京宴 西宮北口店,居酒屋、魚介料理・海鮮料理、寿司,兵庫県西宮市甲風園1-6-6 エクセル北口 3F,67,-,-,3000,3999,"3,500",2020年6月23日,2020年6月23日,2,5,https://tabelog.com/hyogo/A2803/A280301/28057309/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,寿司,3.01,,,,,,,,,
28061077,西宮北口駅,126,大衆酒場 天神大ホール 西宮北口店,居酒屋、魚介料理・海鮮料理、焼鳥,兵庫県西宮市甲風園1-4-11 スワンビル 1F～2F,118,"2,000",2999,2000,2999,"2,500",2021年10月22日,2021年10月22日,1,1,https://tabelog.com/hyogo/A2803/A280301/28061077/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,焼鳥,3.25,,,,,,,,,
28053055,西宮北口駅,76,goodspoon 阪急西宮ガーデンズゲート館店,イタリアン、カフェ、バル・バール,兵庫県西宮市高松町5-22 阪急西宮ガーデンズゲート館 3,72,"1,000",1999,3000,3999,"3,500",2018年11月21日,2018年11月21日,4,0,https://tabelog.com/hyogo/A2803/A280301/28053055/,洋食,イタリアン,カフェ,バル・バール,3.4,,,,,,,,,
28064012,西宮北口駅,126,まさや 阪急西宮北口店,焼鳥、鳥料理、居酒屋,兵庫県西宮市甲風園1-4-11 スワンビル 1F,106,-,-,2000,2999,"2,500",2022年7月4日,2022年7月4日,0,4,https://tabelog.com/hyogo/A2803/A280301/28064012/,居酒屋・バル,焼鳥,鳥料理,居酒屋,3.15,,,,,,,,,
28046749,西宮北口駅,144,ラクレットチーズ&魚×肉バル トロロッソ,ダイニングバー、韓国料理、ビストロ,兵庫県西宮市甲風園1-4-7 谷口ビル 1F,30,"1,000",1999,3000,3999,"3,500",2016年6月15日,2016年6月15日,6,5,https://tabelog.com/hyogo/A2803/A280301/28046749/,居酒屋・バル,ダイニングバー,韓国料理,ビストロ,3.25,,,,,,,,,
28026237,西宮北口駅,112,ぢどり亭 西宮北口店,居酒屋、焼鳥,兵庫県西宮市甲風園1-5-19,36,-,-,3000,3999,"3,500",2010年6月1日,2010年6月1日,12,5,https://tabelog.com/hyogo/A2803/A280301/28026237/,居酒屋・バル,居酒屋,,,3,,,,,,,,,
28009165,西宮北口駅,707,フォルクス 西宮店,ファミレス、ステーキ、ハンバーグ,兵庫県西宮市能登町5-8,98,"1,000",1999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28009165/,その他,ファミレス,ステーキ,ハンバーグ,3.05,,,,,,,,,
28011823,西宮北口駅,364,天ぷら専門 多から,天ぷら、居酒屋、寿司,兵庫県西宮市長田町1-28,11,"3,000",3999,6000,7999,"7,000",2018年3月1日,2018年3月1日,4,8,https://tabelog.com/hyogo/A2803/A280301/28011823/,和食,天ぷら,居酒屋,寿司,3.52,,,,,,,,,
28054137,西宮北口駅,217,くし菜 西宮北口店,おでん、串揚げ・串かつ、魚介料理・海鮮料理,兵庫県西宮市甲風園1-9-8 睦ビル 1F,15,"1,000",1999,2000,2999,"2,500",2019年2月26日,2019年2月26日,3,9,https://tabelog.com/hyogo/A2803/A280301/28054137/,和食,おでん,串揚げ・串かつ,魚介料理・海鮮料理,3.34,,,,,,,,,
28026680,西宮北口駅,260,宮崎地鶏 炭焼ばる ファイアーバード,焼鳥、居酒屋、創作料理,兵庫県西宮市甲風園1-10-8 B1F,24,-,-,3000,3999,"3,500",2010年7月7日,2010年7月7日,12,4,https://tabelog.com/hyogo/A2803/A280301/28026680/,居酒屋・バル,焼鳥,居酒屋,創作料理,3.38,,,,,,,,,
28018307,西宮北口駅,166,磯浜,魚介料理・海鮮料理、寿司、居酒屋,兵庫県西宮市甲風園1-6-6,52,-,-,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28018307/,和食,魚介料理・海鮮料理,寿司,居酒屋,3.36,,,,,,,,,
28045551,西宮北口駅,131,つくねや 本店,焼鳥、炭火焼き、居酒屋,兵庫県西宮市甲風園1-5-4 はつせビル 4F,36,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28045551/,居酒屋・バル,焼鳥,炭火焼き,居酒屋,3,,,,,,,,,
28062773,西宮北口駅,193,海鮮肉炉端 ひぐま一家,居酒屋、魚介料理・海鮮料理、ろばた焼き,兵庫県西宮市甲風園1-7-1 カサ・マドンナビル 1F,29,-,-,3000,3999,"3,500",2022年2月1日,2022年2月1日,0,9,https://tabelog.com/hyogo/A2803/A280301/28062773/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,ろばた焼き,-,,,,,,,,,
28042963,西宮北口駅,154,窯焼ピッツァ＆肉バル ビステッカ 西宮北口店,ダイニングバー、ステーキ、イタリアン,兵庫県西宮市高松町10-8 金森ビル 1F,30,"1,000",1999,3000,3999,"3,500",2015年4月3日,2015年4月3日,7,7,https://tabelog.com/hyogo/A2803/A280301/28042963/,居酒屋・バル,ダイニングバー,ステーキ,イタリアン,3.17,,,,,,,,,
